,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
193,-594.0240629474188,-592.7898502241497,-589.4254360390157,-600.3746335092555,-589.1780134954903,-588.3801707543333,194000
194,-590.6107595966103,-596.8850106389592,-596.251128073161,-589.4500634957385,-595.6378208131171,-593.6017649237453,195000
195,-594.5542637284831,-594.1623247226946,-595.287352214607,-595.5541406543765,-593.8495586008842,-588.9641910079455,196000
196,-589.5857775430663,-597.3283794170043,-598.4298473896814,-596.8685345930029,-594.9109454401844,-599.1059801679984,197000
197,-588.9679910207728,-591.9488157251488,-594.2484977051798,-594.8605653457566,-593.8318218947882,-594.4617727744042,198000
198,-589.4766823823876,-588.3364982417165,-595.6387332554532,-593.1999041379747,-589.9763030098514,-593.0197273086171,199000
199,-590.0905788234263,-591.0184149275742,-589.0441235273817,-594.4475446500354,-594.8278522781295,-595.5757420467039,200000
200,-588.6473191887261,-598.3389164258506,-594.6994117128893,-593.3238935085931,-595.3620374478298,-594.2683238508861,201000
201,-594.8699767581819,-587.9247740630105,-594.204688337401,-597.9182376400973,-595.0038852420761,-593.7961075481186,202000
202,-594.987892695368,-591.1485153972662,-593.4174981981488,-594.7685077213947,-587.356170414597,-588.174745187318,203000
203,-594.986764527051,-589.0242485909685,-588.6722648515954,-588.705296414726,-589.2645516646352,-594.484924189102,204000
204,-589.4094800343366,-588.8550188959059,-587.7557683065486,-594.8658210916934,-588.2262582798228,-593.3462276144783,205000
205,-594.7300012758078,-594.0454879864592,-599.6622578959181,-600.9517950428282,-592.8009478691639,-588.8157164189273,206000
206,-593.9605107434855,-593.1260925490044,-596.5042452440147,-588.9717836481576,-589.1519677261555,-595.0178978833093,207000
207,-589.0436324948193,-595.2197907479753,-593.5547333791151,-595.8591054019619,-593.986508970239,-593.688411052813,208000
208,-588.5313165563348,-594.6996971433637,-589.8443343051348,-586.8731049601199,-588.7241402814404,-588.0025242334768,209000
209,-597.2167009254196,-589.2248576306025,-593.704496330915,-591.0508540333637,-599.6722851886699,-598.7702862572121,210000
210,-594.401229335835,-592.5044030883848,-597.640352831441,-591.0937937030252,-590.2157398162739,-594.1451850870005,211000
211,-593.8388528407348,-594.8958694859402,-597.8761175853134,-598.902468374501,-590.1277343712144,-587.987618123703,212000
212,-594.764460750945,-589.2440227947124,-594.0684432479084,-593.4851895489313,-599.5992055893893,-594.1431762055744,213000
213,-594.1416173693083,-597.9472834552234,-588.625154624377,-593.7354261542263,-593.3847084620597,-594.114901857098,214000
214,-594.022967516164,-590.2340898252735,-594.9328616669965,-599.1512289289494,-593.4814235437136,-589.629042782757,215000
215,-595.0768834613013,-593.8535249652693,-589.279558096679,-590.0852563808044,-595.3842691525698,-590.4532764503471,216000
216,-595.81501983498,-594.93386275684,-588.7320870979311,-593.691868123957,-588.541503915583,-594.4755881858923,217000
217,-588.9170229262555,-599.8737874753824,-597.9821194979367,-588.8122115142617,-588.5968598316155,-595.2882038488638,218000
218,-600.4732474069065,-591.1733047803078,-588.9045964459946,-594.4961710931283,-591.8931545484965,-600.6909100853567,219000
219,-587.4552954661456,-595.9600191125347,-588.9551599091325,-594.8561361355896,-588.3459197948284,-600.031820719935,220000
220,-595.0010615154458,-594.2613243296931,-595.7296912955297,-589.3823019914151,-599.2670490530896,-599.4120389106527,221000
221,-591.0179324768897,-594.7222281692663,-594.0155011708665,-588.7148672176029,-590.0036574961065,-588.3951060761669,222000
222,-599.539462181759,-594.5697971114259,-595.164379967536,-597.7582859747483,-590.9105334814876,-595.3159016080467,223000
223,-588.2333150542877,-590.2073658474483,-590.6023199885956,-594.2586137219464,-589.2331633194973,-594.2374670072555,224000
224,-593.7904366863734,-594.136311609221,-594.83805966951,-597.1268385735586,-588.6806287954662,-592.7980005646065,225000
225,-594.4507460714857,-589.1206747768373,-599.3733808717069,-593.7914796106498,-593.124555751776,-599.1293598448133,226000
226,-587.8634223449003,-590.1684002474426,-593.9245779226906,-596.181030612431,-590.3242287370657,-600.5640634152795,227000
227,-589.0182025996934,-596.6402966278908,-592.8653172859075,-589.0067608478432,-595.9412778777846,-589.468301046104,228000
228,-593.0583187197896,-592.6157303613555,-593.0202480427868,-589.0551303676583,-593.1298150619999,-594.3280062724723,229000
229,-589.8211880601264,-588.7110517426871,-600.0594968062037,-594.3079040940627,-594.9035581930829,-600.9481869628094,230000
230,-594.6897893171085,-595.1169722274686,-598.3609342382987,-594.4120877542143,-587.0654107742515,-595.979973643276,231000
231,-591.5006050701403,-594.731322729638,-592.9565686016622,-591.885288542401,-589.8318901254925,-594.5575284613237,232000
232,-588.5548867383463,-596.4347522313382,-594.9142957770563,-600.3553850413473,-589.4225212512847,-593.9585801841404,233000
233,-591.3950649797594,-600.453499384203,-588.4485551686028,-593.5885216348712,-594.0181913946348,-594.1304521921135,234000
234,-595.6157023731597,-587.8717653604768,-593.3484950587922,-590.4956470844857,-596.7528096733319,-595.6097718139744,235000
